name,city,state,zipcode,country,cuisines,pickup_enabled,delivery_enabled,weighted_rating_value,aggregated_rating_count
Burger King,Manitowoc,WI,54220,US,American,True,True,2.4,42
Burger King,Manitowoc,WI,54220,US, Burger,True,True,2.4,42
Burger King,Manitowoc,WI,54220,US, Burgers,True,True,2.4,42
Burger King,Manitowoc,WI,54220,US, Family Meals,True,True,2.4,42
Burger King,Manitowoc,WI,54220,US, Fast Food,True,True,2.4,42
Burger King,Manitowoc,WI,54220,US, Subs & Sandwiches,True,True,2.4,42
Petro-Canada,Airdrie,AB,T4A,CA,Ben & Jerry's,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Café/Thé,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Coffee/Tea,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Convenience,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Cool Treats,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Crème Glacée,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Crèmerie,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Dessert,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Desserts,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Drinks,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Dépanneur,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Everyday Essentials,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Food & Drinks,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Fringales Nocturnes,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Grocery,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Gâteries Rafraîchissantes,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Home & Personal Care,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Ice Cream,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Ice Cream & Frozen Treats,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Late Night Cravings,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Nestle 4 Pour 2,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Nestle Buy 2 Get 2,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Nourriture Et Boissons,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Offers,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Offres,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Pepsi,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Sandwiches & Subs,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Sandwichs Et Sous-Marins,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Snacks,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Soup,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Soupe,True,True,4.1,1
Petro-Canada,Airdrie,AB,T4A,CA, Épicerie,True,True,4.1,1
Boba Bae,Ashwaubenon,WI,54304,US,American,True,True,4.0,88
Boba Bae,Ashwaubenon,WI,54304,US, Asian Food,True,True,4.0,88
Boba Bae,Ashwaubenon,WI,54304,US, Bubble Tea,True,True,4.0,88
Boba Bae,Ashwaubenon,WI,54304,US, Coffee & Tea,True,True,4.0,88
Boba Bae,Ashwaubenon,WI,54304,US, Dessert,True,True,4.0,88
1001 Nights Shawarma,Kitchener,ON,N2C,CA,Beau,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Bon,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Local,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Chicken,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Dessert,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Desserts,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Global Diversity Month,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Lebanese,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Local Goods,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Mediterranean,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Middle East,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Middle Eastern,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Mois Mondial De La Diversité,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Moyen-Oriental,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Must-Eat Restaurants,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Poulet,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Restos Incontournables,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Vegetarian,True,True,4.6,1077
1001 Nights Shawarma,Kitchener,ON,N2C,CA, Végétarien,True,True,4.6,1077
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA,Ailes,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Allergy Friendly,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, American,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Beau,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Bon,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Local,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Burgers,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Chicken,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Fait-Maison,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Fast Food,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Group Friendly,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Hamburgers,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Homemade,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Hot Deal Summer,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Local Goods,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Offers,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Offres,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Poulet,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Promos D'été,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Sandwich,True,True,4.6,30
Chirpyhut Fried Chicken (JlgJ),Richmond,BC,V6X 2B8,CA, Wings,True,True,4.6,30
7 West Cafe,Toronto,ON,M4Y 1R4,CA,2Pour1,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, 2pour1,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Alcohol,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Alcool,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Allergy Friendly,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Beau,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Bon,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Local,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Beer,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Ben & Jerry's,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Bière,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Bogo,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Breakfast,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Breakfast & Brunch,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Breakfast &Amp; Brunch,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Breakfast And Brunch,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Chicken,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Comfort Food,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Corona,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Crèmerie,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Desserts,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Déjeuner Et Brunch,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Dîner,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Fait-Maison,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Family Meals,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Food & Drinks,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Fringales Nocturnes,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Group Friendly,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Holiday Offers,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Homemade,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Ice Cream & Frozen Treats,True,True,4.4,354
7 West Cafe,Toronto,ON,M4Y 1R4,CA, Italian,True,True,4.4,354
